レビュー文, スコア
ベン・アフレックはこういった役が一番似合いますね, 62.768079
ここらで誰か殺しておくか的ご都合主義予定調和的に進行するシナリオ、地球に潜る為ではなくエピソードを用意する為に設計されたかの如き船体構造、誰にも魅力を感じない（なぜそこにその人がいるのかが解らない）キャラ全員の造型の浅さ、等々、もうすべてが、「Ｂ級映画にしてもこれはどうなの, 62.596287
ベン・アフレックは最高にいい友達で感動しましたよ, 62.018160
コメディとしてみたら、ひょっとするかも・・・この作品とインディペンデンス・デイ、デイアフタートゥモロー、アルマゲドンをぶっ通しで観ると不思議な気分に浸れます…この中では最後のオチが面白かった、ザ・コア…出だしは最高だったんですよ, 61.940144
フォレストの声が山寺宏一さんで他の出演者の声がピッタリ合っていたのですが、2回目に放送したときは違う人の声であまり感動しませんでした, 60.115264
数学の天才が街のゴロツキという設定に惹かれたが、毎度おなじみの精神科医との交流に重点が置かれ、やや興味が薄れた, 59.824153
これ以降、ロビン・ウィリアムスの映画をすべてみることになるほど、好き, 59.737581
ただロビン・ウィリアムスがあんまり好きじゃないんだよね, 59.549203
 大学構内の清掃をしていたウィルの才気を見出すランボー教授役のスウェーデン俳優ステラン・スカルスガルドが巧かった, 58.656629
男っぽいという意味でベン・アフレックが最高にかっこよかった, 58.326304
キング原作の映画は大体ハズしてくれるので、原作「監獄のリタ・ヘイワース」の大ファンだった自分としては映画の方は半分あきらめ気分で観たのですが、いい意味で期待を思いっきり裏切ってくれました, 58.248241
ベン・アフレックの最後の笑顔がとても印象に残った, 58.087298
せっかくこんな素晴らしい脚本を書けるのだから、ベンアフレック、マットデイモンでもっと脚本を書いてもらいたい, 57.591596
ガンプに起こった事もジェニーに起こった事もすべて、定められた運命でもあり、同時にあの羽のようにただ風に流されるままに人生を生きた結果でもある, 57.351978
 ベン・アフレック 演じる親友が、ツボでした, 56.330327
天才はとことん天才だし、そのギャップとなる劣悪な環境はどこまでも劣悪だし、それでいて性格はひんまがっておらず、男前, 54.720889
天才と狂気ってのは表裏一体で共存できないものなのか…若い俳優の脚本ということで心配したが、むしろ大人が書いた更正物よりもずっと説得力があった, 53.128669
今作のマットは記憶力抜群で数学、化学、物理と何でもできる秀才, 53.111451
駄作、って言葉が、シックリしますねw美人ではないが（失礼）カッコ良いヒラリー・スワンクのシャトルの操縦や、「鳥」を思わせる不気味な雰囲気の前半は、期待を抱かせます, 52.344427
ベンチに二人で座って話すシーンのマットの表情が素晴らしい, 52.139188
5年くらい前に見たけど、いい映画だったのか微妙こんな天才は実感できず、その才能を生かすより、愛を選択の結末は平凡, 51.987994
しかし内容は相変わらず素晴らしく、それぞれに表向きの表情と裏にコンプレックスを隠し持った二面性のある登場人物が多く、観賞した誰もが数ある登場人物の誰かに共感できるのではないかと思います, 51.521545
仮に主人公がアインシュタイン並の天才的な頭脳の持ち主でなければ周囲は救いの手を差し伸べただろうか, 51.455380
公開時にはあまり期待をせずに観たので、期待以上の作品だったので当時は何度も繰り返しみる度泣いてしまってました, 51.030558
でもサッカーのシーンはキャプテン翼のぶっとび度に慣れた人にとってはそれほど想像力に富んでいないし、前半がつまらない（ダンスのところなど）のが残念, 50.240807
このワン・アイディアだけで映画を１本作ってしまおうと考えた発想自体は特筆ものだが、マコーレーを中心としていろんな人が何かあるたびにワーワー声を上げてうるさいのと、全体的に何か展開が単調なのとで、意外に見終わったあとの爽快感は少ない, 50.157868
主人公の歩む人生と共に、アメリカの歴史が簡潔に分かりやすく描かれてて歴史の勉強にもなります, 49.351093
自分自身への苛立ち、自分自身をさらけ出す怖さ、弱さ、自分自身と向き合うことの難しさ、成長と色々な想いを感じさせる傑作, 49.322825
今までに見てきた映画の中で最高だと思うねー一度テレビでノーカットのやつがあってビデオに録画したんだけどいつのまにかなくなってしまってかなりへこんだもんなー実にすがすがしい映画です, 49.116219
人との出会い一つ一つを大切にし、その人の事を真剣に考えて無いようで考えている、そんな人間には自然と人が近寄ってきて、その人達まで幸せにする, 48.952884
デブが技を見せてくださいと言われてウルトラマンさながらに飛んで行くところとか、試合開始そうそうゴールを決めて喜び合うシーンとか、GKがブルース・リーに似ているところとか、私も歌いますとか行っていきなり現れたなぞの男とか、笑えるシーンは各所にてんこもりで、う～ん、これはなかなか素晴らしい, 48.925324
ヒロインのミニードライバーも頭のよさそうなキャラにはまっていてファンになりました１回目は感動して泣けた, 48.725568
目の付け所は良いと思うが、ストーリも話の展開も面白くないし、一番期待していた派手な演出もレベルが低く、いかにも合成やＣＧといったものばかりであった, 48.355988
仙人を通り超した浮浪者風のデルロイ・リンドーとか、髪の毛フサフサのスタンリー・トゥッチとか、あいかわらずとってつけたみたいなヒラリー・スワンクの女装など、コスプレを楽しむというのも一つの鑑賞方法かと思う, 48.228455
ハーバード大学生役のミニードライバーがもし美人だったら、ちょっと興ざめしないか, 47.813134
ラストでハッカーの青年が「地球が自らの力で甦ろうとしているんだ」というセリフがとても印象的で、この映画では地球のひとつの生命体としての大いなる力強さを感じることができる, 47.688005
車を押してみたくなったｖギャグが私には合いませんでした（汗）でも劇場で見たときはＣＧもカッコ良くて、ラスト近くでじーんとくるシーンもけっこうあり楽しめましたね, 47.458683
（教授が常に身につけるロングスカーフで2人の地位の違いをだした衣装も巧み）ガス・ヴァン・サントは自分で脚本も書くことが多いけれどこれは例外で、それが功を奏した, 47.378413
彼のような数学の天才が、数学で活躍できないで終わってしまうのが悔しい, 46.673699
ベン・アフレックはその連れがよく似合う, 46.673699
ベン・アフレックは何だかいつも大味で好きになれなかったが、この映画の彼はいい, 46.673699
今のところ三十数年の人生でBEST1アメリカでDVD買って２０回は見ました, 46.617741
その点、僕の場合、小林チームのファン監督が魁三太郎、デビルチームのハン監督がやしきたかじんに似てたあたりでつかみはＯＫ, 46.206620
ミニー・ドライバーは、お気に召さなかった人が多いようですが、あの役にカワイイ系の女優は合いませんよ（キッパリ）, 45.872802
私は「ライアーライアー」が大好きで、この作品も（○○しかできない、言えない）という縛り系の展開だったのでああいうコテコテな道を進むのかと思いきや、意外にもあくまで自分の言葉からバカ素直にYESを連発する彼でしたが、それはそれで応援したくなったり, 45.498953
思ってたより内容は充実してたし、ひき込まれたんですが、子供の頃から辛い境遇で育ってきて、しかもあの年齢まで心を開かずに来ている人間が、そうそう簡単には変わらないと思う, 44.895989
ラストのアフレックの笑みだけで、二人の深い友情を感じずにいられない, 44.824510
ブルース・リーにそっくりな人がいたそれでまず４点・・・・笑いで、＋３点これ以上は点をあげられない映画平日にひとりで見に行って、周りは小学生ばかりでした, 44.751007
最初のシーン、惑星直列の中央が6つの焼き印入りの少林頭、奥がサッカーボールという時点で笑い開始, 44.368387
主人公が天才的なのは、テーマをしぼりこんでいった、「あとづけ」の設定では, 44.351738
最後、ウィルを迎えに来たけど、ウィルがすでに旅立っていたことがわかった時のシーンが一番印象に残っています, 44.302038
キャスト・作品・演技などは普通目だが、カットセンスは良いし、音楽、台詞の中の沈黙の間などは、とても心地良かった, 44.239310
今までで一番多く観てる映画だが、何度観ても、バクストンの大木の下にレッドがやってくる名画のようなシーンから美しすぎる太平洋のシーンまでは、泣かずにいられない, 43.571679
泥棒を色んな方法で撃退するんだけれど、使うものがビデオだったりおもちゃだったりで、子供ならではの発想が満載で面白いです, 43.421608
字幕版で爆笑して吹替え版もチェックした（個人的には字幕版の方が好き） そうか、キャプテン翼を実写化すればこうなるのかw笑えました, 42.459013
（途中はまあまあでも、、終わり良ければ全て良しといった感じですかね） 4点でしたが、一番可愛い時のゾーイの映像が残ったという世界遺産的観点から1点追加の5点です, 42.456107
ジム主演の映画で「マスク」以外の作品は、どれもシナリオの出来が平均以下のものばかりで、ジムのキャラにおんぶに抱っこ、という作品が目立つ, 42.313752
とりわけ歴史上の人物とガンプとを同一画面に登場させたシーンなどは、まさに説得力があふれている, 41.918491
あの映画の通りにアメリカの歴史がつくられたのなら、凄い経済効果だ、フォレストガンプ（笑）, 41.403406
）くまのぬいぐるみが喋るっていう設定が新しいのかと思いきや、あっという間に喋るくまのぬいぐるみが受け入れられ、だんだん、普通の友情物語に・・・, 41.296983
無欲なガンプが、望みもしないのに、栄光や名誉を次々と手にするが、愛だけは最後まで手に入らない、とても悲しいストーリーだと僕は思う, 41.213673
第二の人生に向かってハイウェイをひたすら走り続ける主人公の車を追ったエンドロールでの描写が余韻を残す, 40.646895
サッカーを始めるまでの1時間くらいは、ちょっとダラダラ感が否めないが、サッカーを始めてからのシーンは結構ウケるところが多かった, 40.595102
「YES」を連発するカールを必要以上に利用したがるキャラがいなかったし、全体的に悪者が少なく（世の中、いい人が多い）という前提に立った映画で、個人的には暖かい気持ちになれました, 40.530606
TVモノアニメとしては中の上」と評していたハルヒシリーズでしたが、いやあ、京都アニメーションの目論見通りか、すっかり堪能させられました, 40.307924
実は、数学の超難問を簡単に解いてしまうほどの、天才, 40.259664
そういえば、今年のゴールデングローブ賞かアカデミー賞かのどっちかで、キャサリン・オハラが歌っているシーンを見かけたけど、あの人もともと歌手だったのかなあ, 39.618198
非サッカーファンの私としては、サッカーというダラダラ長引きやすいスポーツがこんなに痛快になるのか・・と眼から鱗がでた気分, 39.096514
チャウ・シンチーは元々テレビでドラマ制作とか手掛けていただけあって、香港映画の監督の中でもやっぱり観客の要求するものをキチンと提供するという良さを持っている, 38.856461
旅立ったことを悟ったときのベンの演技はとても良かった, 38.395073
地上での様々なパニックがリアルで出来が良いだけに、肝心の核の部分での表現の貧困さが余計に際立ってしまったという、実に皮肉な結果となった, 38.147638
なんかの映画の劇場予告で鳥とかペースメーカーとか地軸のアイディアに相当期待してたものですが、いやいやきっと予告止まりで内容はありがちふぁと言い聞かせて見るのを断念, 38.120563
ＣＧの使い方、音楽、そして映画界の至宝トム・ハンクスの演技も素晴らしいの一言だ, 38.061640
核に到達するために集められたメンバーやその方法がリアリティとしては欠ける部分はあるが、エンターテイメント性に優れたものがあった, 37.660396
カルキン君はその後、億万長者になってしまったために両親が金銭面でモメて離婚し、彼も俳優業を引退してしまったと聞いてます, 37.341391
普通、屈折して社会適応できない人間に、あんな素晴らしい親友はいないもんでしょ…, 37.192782
あれ写真以外に最後に起きた核爆発の規模の問題とか解決する方法のヒントなりが書いてあるとかにすればいいのに, 37.063403
SF少年だった昔を思い出して、チョット贔屓目に地球内部版アルマゲドンという評価を良く聞いたが、なるほど作風的にはよく似ている, 37.050154
目まぐるしく走り回って、屋根裏に追いやられ、停電があって、あわただしい出発があって、近所のガキがうろうろしてて勘定の中に入っちゃって、飛行機の座席がバラバラで…、とにかく設定をこしらえてしまえばいいんだ、というテキトーさがなく、そういう設定へ持っていくところを楽しんで作っている, 37.041796
この映画を観終わった以後、ちょっぴり自分もワクワクしながら自分の（人生の）チョコレート箱を開ける（迎え入れる）事ができるようになったと思う, 36.860751
本作品は、俳優陣が真剣に真顔で演技することによって、逆に“笑いを誘う起爆剤”になっていると思います, 36.821774
笑い的には、”すかし”や、”ブラックジョーク”的な物が多く、それを笑えない人にとっては、意味がわからないかもしれないが、これまでの香港映画とはかけ離れた、分かりにくい面白さは、ある意味新しいと思う, 36.584587
才能に恵まれているのにチンピラ同然の日々に流されることに疑問を感じない天才少年が持つ幼稚さの表現、ということはないですよね・・・, 36.453822
でも、往年の我が東宝ＳＦ映画（『妖星ゴラス』とかね）を想いださせる良い意味でのノーテンキさとか、人類の危機だってのに何か軽～い雰囲気が、個人的にはマルです, 36.187216
マッド・デイモンらが大学で考えた脚本だというから驚き, 36.044480
一番好きなシーンはムイの屋台の前でみんなが自分の忘れかけてた夢（笑）を思い出してダンスをするところです, 35.428576
あの教師は無様だったけど、マットの頭脳を引き立てるには充分でしたね, 35.407634
シャインのように日常的にはかなり特異なキャラがじつはある一つの分野については、秀でた才能を発揮するほうが際立った印象を与える, 35.141546
子供向けだと思いますが、ちゃんと心があったまるエピソードも盛られていたりして、特におじいさんとの教会での会話などが印象に残っています, 35.121229
ファミリー向け、コメディ映画として、良いんじゃないの・・ドタバタコメディではあるけど、１人ぼっちになってしまうまでの過程とか、泥棒の下見とか、とても丁寧な構成の作品ですね, 34.943113
序盤の出来は、最近の定番パニックもののなかでも出色のできだったと思うんだけど、みなさんのコメントどおり、コアに向かってからは、もう突っ込みどころありまくり, 34.868276
／この映画の気に行っている所は、仕事を終えてのウィルの無表情とその後ろに写る美しい夕焼けの車窓, 34.867280
でも狙ったからといってとれるもんでもありませんよね）、全体のトーンを乱すことなくちゃんと役その人を演じ切ったから、自然な感動が湧き上がってきました, 34.781093
公開前の情報以上のものを期待していたんですが、情報そのままでした, 34.603511
ＣＧは安っぽく、話も予想通りの展開でしたが前半、中盤は結構楽しめました, 34.560941
個人的に天才が出てくる物語って何か好き、ナイモノネダリか, 33.750763
◆人類を救うための自己犠牲によるミニ・ヒューマンドラマが展開しますが、これがチープ, 33.721733
 ただ、こういう往年のハリウッド映画が持っていた「粋」なスマートさを、観客の側がもっと理解しつつ楽しめるという風潮が、最近どんどん失われているように感じる…日本でも、たぶんアメリカでも, 33.170085
脱出成功のシーンとラストシーンは、本当に最高, 33.033127
サッカーの試合に入ってからは結構持ち直したと思うが、兄弟弟子一人一人に見せ場を用意して意外にキャラが立っていたのが勝因, 32.756383
劇場公開時にこの映画のＴＶＣＭを見たときはかなり期待したが、いざ蓋を開けると・・・, 32.602938
 こんなにヒューマンタッチで現実味のある人間の心の奥底をあらわした映画は現代では珍しいかも, 32.433690
‘９０年アカデミー受賞式にて放映した記念ＶＴＲで、様々なジャンルの映画人が“今までで一番面白かった映画は, 32.000169
ギャグセンスのキレは言うまでも無いですが、画面の端々まで行き届いた演出、ストーリー運びの巧みさ、テンポのよさなど手馴れた名人芸ぶりには驚かされました, 31.969048
1回目は感動し、2回目は涙が出ました, 31.621960
未来を描く映画や、未確認の物体を映画の主題にする場合、その想像力をどのような形にするか、また、物語に組み込むかが、その映画の出来具合を大きく左右させるものだと思う, 31.384306
最後のシュートでのキーパーの有様とラストの○○○世界一という看板にはやられました, 31.277708
素晴らしい作品だからこそ映画化されるのに、監督や脚本家の創意とやらが入り込んで、ブチ壊しにされる例が多いですからね（デビルマンとかドラゴンボールとか魍魎の匣とか）, 31.062244
 そんで主人公が現実世界に帰りたいと思うのって、前のほうが楽しかったとかじゃなくてハルヒが好きだからでしょ, 30.835808
良くできたストーリー、長さを感じさせない演出、随所で流れるほのぼのとした音楽、希望と自由というメッセージ、そしてラストの太平洋, 30.691668
楽しめた映画だが、コアへ出発する前から生き残りのメンツが予想出来てしまうありきたりの展開にはやっぱりかと言いたくなる, 30.634991
アカデミー賞で話題になったとき、役者さんが地味なので全く期待していなかったのでそれも良かったのかもしれません, 29.797616
こういう映画を見た後は、如何に自分が今の人生と向き合えていないか、という点にいつも悩まされる, 29.725681
ボロの靴を直して主人公に返してくれたり、拳法の達人であったりとかなり魅力の高い役柄だったのに、なんだか凄くもったいないと思った, 29.609785
これだけ結果オーライの内容でもとこか微笑ましく感じるのは、ジム・キャリーという存在のおかげかもしれません, 29.488945
でも逆に言うと最初から最後まで同じ雰囲気で正直、途中であきてしまった所もあった, 29.431421
この劇場版単独での評価は難しいけど、TVシリーズからの伏線が活かされたシナリオはとても面白かったです, 29.347446
すなわちこの映画は、決して完成させれたユーモアを楽しむ類いのコメディ映画ではなく、つくり手があまりに個人的な趣向を全面的に押し付けてくる粗くゆるいコメディ映画なのだと思う, 29.309680
普通、地球を救ってくれたら感動し、感謝したくなるんだけど、本作ではそんな感じがぜんぜん沸いてこないんだよね, 29.255335
抱き合うとこと、友達と工事現場での会話が感動した, 29.113337
自分が今まで生きてきた中で一番感動し、初めて涙を流してしまった映画です, 29.096433
それ以外は、傑作である原作小説を高水準の演出で忠実に再現した完璧な作品と思います, 28.834618
おまけにガンプが義足を吹っ飛ばして走るシーンで何回泣いたことか…, 28.769102
キングの小説も凄いけど、その小説での表現をここまで小説に近い形で実現したのも凄い, 28.761587
えーと、まずこの作品の監督がガス・ヴァン・サントであることに不安を抱きながら見始めたのですが、すぐにヴァン・サントは完全に改心したんだ、と確信したのでした, 28.664541
つ…つまらない船が出発するまでの部分は、結構面白かったのだが、肝心の船が出発してからがいけません, 28.491011
前評判が良くて期待しすぎてたからなのか、なんか当たり前の話すぎて感動できなかった, 28.464774
人間はやはり誰かの為であったり、誰かの支えであったり、１人では生きていけないというメッセージが心に響いた, 28.363062
心の底で理解者を求める青年の成長物語, 28.192035
ほんとに頭のきれる方が役をやってくれていて良かったです, 27.810286
若者二人でよくぞここまで心の機微を捉えたシナリオが書けたものだと思います, 27.619594
小学生の頃、家族みんなで観て大笑いしたのを覚えている, 27.456937
鉄の頭が８０％笑いを持っていったねメンバーが揃って練習の所まではまぁまぁ楽しめたけど、試合が始まってからはボロボロ, 27.388844
でも、もし、ストレス溜め込んでたり、仕事で凹んだりした人が観て笑えたなら、そのことだけでこの映画の存在意義は大きいと思うし、作り手側もムリに感動を押し込もうとしたりせず、そんなつもりで作った感じが、わたしにはとっても好感が持てた, 27.361882
ガマンにガマンを重ねて、みたいなエピソードとか伏線とか、あと５分でいいから入れていたら、全然印象違っただろうに, 27.342654
あの頃はそれなりに楽しめました・・・今観たら・・・下ネタがないコメディ映画としてはけっこう笑える, 27.138772
その頃から、こんな奴、所詮ハリウッドのジンクス“子役は大成せず”だと密かに思っていたが・・・子供の映画かと思って馬鹿にしてたけど・・・結構、楽しんでしまった, 26.865596
最後の方が少し安っぽい作品に感じさせてしまうシーンの連続だったが、恋人と楽しく鑑賞させて頂いたので、まあ良かったかな, 26.650293
感動して原作も読みましたが、脚本家が縁の下の力持ちだと知りました, 26.490485
ハンクスはじめ俳優、脚本、演出、どれも上出来, 26.435286
ストーリーはそんなに好きじゃなかったけど、映画全体に漂う雰囲気が、アメリカのヒーロー映画に食傷気味の私には心地良かったです, 26.152165
そのアイドルをつるっぱげにしたり、火星に帰れとか言ったり、セクシーポーズを取らせたりするあたりが、やはり香港人のセンスは並ではない, 25.897189
人により感動するところはまちまちだが自分としてはベンアフレッグの２０年後もここにいたらぶっ殺す, 25.654906
泥棒をやっつけるための仕掛けの数々、その発想に感心し笑いました, 25.641461
才能がもったいないか、もったいなくないかはあくまで第３者の観点であって、あー救ってあげてよかったと思うのは自己満足ではないでしょうか, 25.608379
人気ライトノベルシリーズのアニメ、でその劇場版がコレ, 25.536100
やけに自由な雰囲気の所内、お決まりの看守や囚人による虐待、凄い勢いで過ぎ去っていく時間, 25.467174
最も期待していなかったミニー・ドライバー、実際見てみたら結構チャーミングではありませんか, 25.419775
主人公の心情の変化と、馴れ初めの進捗度をもっと具現化して欲しかった, 25.375869
最初は一生懸命説明してくれていたのに次第に設定がデタラメになってくるが気にしてはいけない, 25.344104
けっこう前に観たんですが、今でも脚本が良かった映画として記憶に残っています, 25.274735
この映画は昔一度見て、雰囲気のいい映画だなと感じた程度の映画でしたが、つい先日久しぶりに見てみるとすごく面白かった, 25.238743
子どもの頃以来、１０数年ぶりに見ましたが、楽しめました, 25.159035
アーロン・エッカードはアクションスターの素質ありと見たが、トーマス・ジェーンと見分けがつかなくなるのも時間の問題であろう, 24.967643
また図らずも色んな者に影響を与えていったあたりはサブタイトルの通り一期一会ではないでしょうかまぁ、面白い, 24.943322
ジムのファンはもちろん、一般の映画ファンにも安心してお勧めできる一本です, 24.909111
前半のコメディタッチは良かったですが、後半の展開が私には雑に感じられ今一でした, 24.879092
たしかな演技力と、ストーリーを持っているのですが、そこまでの映画ではなかったな腑に落ちない部分がいくつかあった, 24.701332
歳を重ねるごとに経験が増え、そのとき共感できなかったことが共感できるようになるためかもしれない, 24.671372
今作で成功した２人であるが、その後の俳優としてのキャリアは、良い悪いは別にしてくっきりと異なっている, 24.116724
ただ一瞬のみ、お互いの愛情を確認した陰と陽、表と裏が交わったときに誕生したのがジュニア, 24.108984
いっそ、有吉使った吹き替え版のほうが数倍楽しめたかもしれないかな～とか観てる途中から思った次第でしたねそんな具合, 24.007473
そこそこ楽しめましたが、笑いどころだと思われる個所のうち６割がたは意味が判らず笑えませんでした, 23.869971
完成度そのものは決して低くはないのですが、シチュエーションが陳腐なうえ、その陳腐さをどこかで刷新できるぐらいの目新しさがどこにもありません, 23.827282
"あのユニフォーム"をキーパーに着せるために、小林拳という設定を持ち出したのではないかと思えるほどハマっていました, 23.767748
そう、人生はチョコレートのようだという事を映画全体を通して教えてくれた, 23.718998
特に脚本に注目が集まっていましたが、字幕を読んでいるだけでも気の利いた台詞があるのがよく分かりました, 23.585736
／チャッキーが工事現場で最終忠告をする時の澄んだ青空, 23.585386
それにテッドのキャラも最高、ジョークもさえてるし、食べて、飲んで、吸ったものどうやって消化してるのかは不思議と思ったけどすぐに忘れちゃえるのだあ（笑）なかなか面白かったです, 23.579247
みんなで踊るシーンとか、何回観ても面白いです, 23.293700
が、心を入れ替えてもう一度観たら、じわーっと良さが伝わってきた, 23.277085
最初の方、公園でみんなが一斉に踊りだしたときは正直、少し引いてしまいました, 23.238198
最初のシーンで期待したが、後はひたすら映画館から出たかった…, 23.196106
ランボーも自分の名声に利用するのかと思えば、自分がなしえない夢を重ねていたに過ぎなかったし, 23.032818
科学者等が小難しい理屈や専門用語でごまかしてるが、あのＣＧ満載画像に薄っぺらさは隠せません, 22.978418
＜少しねたばれあり＞トム・ハンクスが、バス停でいろんな人に話しかける場面が、すごく好きです, 22.968288
脚本と編集がしっかりしているので、起伏のないストーリーだが、最後までしっかりと観せてくれる, 22.959835
＜追加＞ジェニーがベランダから飛び降りそうになる場面でかかるレナード・スキナードのフリーバード最高, 22.940351
ラット君の鼻の高さに＋1点ここかしこで、サイテー映画といわれていたので全然期待していなかったのだが、案外にも、意外なほど、楽しめるＳＦ映画だった, 22.937792
作話という意味では、設定を組んだだけなので、自分の評価基準ではこうなってしまう, 22.851894
あと、周辺人物をいろいろ配置している割に、ほとんど上手く機能していないのが気になりました, 22.817851
自分たちがやった偉業を話さずにはいられず、ラストでウィルスを使って全世界へ配信するなんてまったく持って私の価値観と合いませんでした, 22.626191
時間を半分にして緩急きちんとつければ、傑作デートムービーを狙えるのに、なんでわざわざ原作マニア向けにしちゃうかなあ, 22.588097
あと、主人公があの友達連中とだけはうまくやっていけた理由がよくわかりませんでした, 22.489347
自分の殻を打ち破ってまだ観ぬ世界に進んでいかないと、自身は向上していけない, 22.423209
…香港の料理家が美味しい料理を作ったら日本人に好評だった, 22.378209
この手の映画は好きなんで期待していたのですが、期待した分面白くなかったです, 22.298849
しかし、ある意味、この作品に素直に感動できなかったのは、僕の心が汚れてしまっているのかなぁ, 22.282650
理解して欲しいなどとは到底期待していなくとも、時に光を射してくれる人が居る, 22.275618
ＣＧの使い方が上手く、本場のワイヤーアクションもハリウッドとは比べ物にならないほど良いので、そういった技術が上手く作品に貢献していたと感じました, 22.272848
決勝戦のシーンは、ほんとに見どころ満載で、目に焼き付いた, 22.224616
普通なSF話で普通に面白かったのでは, 22.159627
他の映画は覚えてたし（笑）コメディのはずなのに、この映画のおかげで怖い思いした, 22.145323
主演の二人が脚本を書いたそうだが、どうしてなかなか上手い, 21.927736
作品のクオリティとしてはTVシリーズの延長でしかないけど、変に凝った作りにされるよりは安定感があって良かったと思う, 21.925311
その移り変わりがしっかり演技に出てて感動した, 21.801245
このシーン最高♪ストーリー性とか重視するタイプの人が見る映画ではないっしょ, 21.767278
